,Return AMZN,Returns S&P
,0.446617144,1.707243511
,-0.650292618,-0.740539033
,-1.520203011,-0.837621485
,-1.303708076,0.888316122
,1.285964014,-0.136263082
,-1.736374651,-1.90512811
,1.154980055,0.705556457
,-0.800488736,-0.606769646
,-0.994549658,-1.126354476
,-0.230459803,-1.968748176
,-2.290760054,1.330926637
,0.526663121,0.43009394
,1.654751804,1.487466797
,-1.173893366,-0.355688507
,1.658979797,0.290974185
,3.436518398,0.929739335
,-0.070164876,0.315615127
,-0.957895251,-0.275161894
,3.064454106,0.703523961
,2.711725924,0.666246311
,0.394942521,-0.183117732
,0,0.495071285
,1.547940097,0.034515023
,1.276388635,-0.018007128
,-1.374833818,0.218129662
,1.169545251,-0.152116248
,-0.108217636,-0.401248314
,-0.363397824,-0.279728829
,-1.953314111,-0.780709563
,0.9978841,0.019021749
,-0.258156195,0.008367358
,-1.000484807,0.391772869
,-0.932055885,-1.107899768
,0.268793418,0.571480986
,2.784920652,1.342443496
,1.092613657,0.526290885
,-0.253158415,-0.159393964
,-1.696981325,0.893950762
,7.567011746,0.623039784
,-0.796531121,0.354911826
,0.378628671,0.229801983
,2.710495404,-0.175424863
,-1.371258103,-0.338502668
,0.763019619,-0.687891438
,-1.440540669,-0.911121666
,0.248286207,0.381264256
,1.606458708,0.453387018
,1.551643999,0.804161592
,0.215518791,-1.11736896
,0.823492021,0.488349341
,-1.717982178,-0.810004639
,-5.088805462,-0.622371877
,1.187663987,-0.03686291
,1.163574258,0.876527255
,0.86388524,0.217557268
,-0.075485726,-0.771797457
,-1.230796823,-1.199726528
,-1.514828814,-0.082772278
,-0.523959906,0.317811361
,1.415096193,0.394532224
,-0.447149507,0.407261594
,1.310083194,1.053701442
,-2.205238838,-2.304822544
,0.647586793,-0.122558655
,-2.790969429,-0.978149249
,-1.40640533,-1.081851583
,0.996686514,-0.09568654
,0.266240835,-0.419566379
,0.863050398,0.735040901
,-1.674632616,-1.407848325
,-0.128751697,0.066853289
,1.95089988,1.253291344
,-2.117444099,-1.758556937
,-1.260737995,0.175279821
,1.470217867,0.304039001
,0.721757799,0.538068882
,3.4091507,1.33341797
,-1.347654768,-0.648945993
,1.311612645,-0.283199313
,-0.832670618,-1.179507731
,4.419204046,0.914253711
,0.545098467,1.286129245
,0.900302248,0.824863336
,0.151717553,1.0068372
,2.415693041,1.430686888
,1.750776686,-0.13370725
,0.467968466,0.100105795
,1.183502064,1.039958289
,0.708013617,-0.69854582
,-2.660136882,-1.825616724
,-0.622970066,-0.444336938
,1.068926441,0.310102707
,-1.472138959,-0.673878268
,1.176618418,0.55390559
